ParticipantID,ColorID,LightingTemperature,LightingIntensity,CentroidUB_HSV,CentroidLB_HSV
17,3,10000K,High,[0.35000606;1.0;1.0],[0.24661304;1.0;1.0]
17,2,10000K,Low,[0.01324255;1.0;1.0],[0.98466630;1.0;1.0]
17,3,10000K,Low,[0.34957139;1.0;1.0],[0.24531461;1.0;1.0]
17,1,10000K,Low,[0.71505260;1.0;1.0],[0.64980726;1.0;1.0]
17,1,4000K,Normal,[0.67770060;1.0;1.0],[0.65246453;1.0;1.0]
17,3,4000K,Normal,[0.37785447;1.0;1.0],[0.28279130;1.0;1.0]
17,2,4000K,Normal,[0.01783000;1.0;1.0],[0.97146434;1.0;1.0]
18,1,4000K,Low,[0.70083025;1.0;1.0],[0.65290531;1.0;1.0]
18,2,4000K,Low,[0.00861774;1.0;1.0],[0.97562353;1.0;1.0]
18,3,4000K,Low,[0.37324111;1.0;1.0],[0.26610827;1.0;1.0]
18,1,7000K,Normal,[0.69209554;1.0;1.0],[0.64195859;1.0;1.0]
18,2,7000K,Normal,[0.01411779;1.0;1.0],[0.98706002;1.0;1.0]
18,3,7000K,Normal,[0.35660059;1.0;1.0],[0.24996447;1.0;1.0]
18,2,7000K,High,[0.01802684;1.0;1.0],[0.98050330;1.0;1.0]
18,1,7000K,High,[0.70358877;1.0;1.0],[0.63824014;1.0;1.0]
18,3,7000K,High,[0.36968197;1.0;1.0],[0.24298840;1.0;1.0]
18,3,7000K,Low,[0.35575937;1.0;1.0],[0.24662317;1.0;1.0]
18,1,7000K,Low,[0.69594568;1.0;1.0],[0.64081712;1.0;1.0]
18,2,7000K,Low,[0.01783499;1.0;1.0],[0.98596583;1.0;1.0]
18,1,10000K,Normal,[0.70459004;1.0;1.0],[0.64487963;1.0;1.0]
18,2,10000K,Normal,[0.01092815;1.0;1.0],[0.98479288;1.0;1.0]
18,3,10000K,Normal,[0.34653119;1.0;1.0],[0.24789898;1.0;1.0]
18,1,10000K,High,[0.70334268;1.0;1.0],[0.65033842;1.0;1.0]
18,3,10000K,High,[0.34295647;1.0;1.0],[0.24888564;1.0;1.0]
18,2,10000K,High,[0.01302854;1.0;1.0],[0.99387793;1.0;1.0]
18,1,10000K,Low,[0.70793281;1.0;1.0],[0.64490977;1.0;1.0]
18,2,10000K,Low,[0.01749948;1.0;1.0],[0.98074073;1.0;1.0]
18,3,10000K,Low,[0.34725772;1.0;1.0],[0.24313997;1.0;1.0]
18,1,4000K,Normal,[0.68543126;1.0;1.0],[0.64095558;1.0;1.0]
18,2,4000K,Normal,[0.03007046;1.0;1.0],[0.96365726;1.0;1.0]
18,3,4000K,Normal,[0.37481480;1.0;1.0],[0.27620149;1.0;1.0]
18,3,4000K,High,[0.36496535;1.0;1.0],[0.28397274;1.0;1.0]
18,2,4000K,High,[0.01275966;1.0;1.0],[0.98058919;1.0;1.0]
18,1,4000K,High,[0.67978501;1.0;1.0],[0.65282167;1.0;1.0]
2,3,7000K,High,[0.36000000;1.0;1.0],[0.25956570;1.0;1.0]
2,2,7000K,High,[0.02576514;1.0;1.0],[0.98676892;1.0;1.0]
2,1,7000K,High,[0.69618596;1.0;1.0],[0.64678120;1.0;1.0]
2,3,7000K,Low,[0.35739337;1.0;1.0],[0.27343740;1.0;1.0]
2,1,7000K,Low,[0.68387991;1.0;1.0],[0.65239177;1.0;1.0]
2,2,7000K,Low,[0.02317336;1.0;1.0],[0.97645696;1.0;1.0]
